"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"true_peak_wait[1630]",0.849255939615125,0.8232975,0.479013731472628,0.5578030458,0.1277686,1.6771195,1.00136585907931,11677.1770294068,4259.89225489732
"true_peak_wait[1631]",0.562655240073125,0.5063955,0.361264814880122,0.3821460804,0.07518297,1.2418035,1.00054474423159,10915.5287671198,4554.87804366577
"true_peak_wait[1632]",1.4897315273125,1.47409,0.636354165652904,0.7285652073,0.46750695,2.5477565,1.00138551720693,10912.0482425185,5140.30214163145
"true_peak_wait[1633]",9975.38181625,9975.445,12.1149659703935,15.6117779999996,9956.46,9994.2105,1.00062658191231,10201.8675034449,4822.57527366237
"true_peak_wait[1634]",9998.37036,9998.68,1.04775483495628,0.674582999999892,9996.2495,9999.47,1.00022440870507,8636.99473966523,5139.8897640252
"true_peak_wait[1635]",1.324838752675,1.313425,0.475994211169265,0.5017600245,0.5583832,2.127762,1.00064496421855,4885.91990682885,4663.45019449702
"true_peak_wait[1636]",1.30026010245,1.28781,0.471904698525237,0.4921891002,0.54455985,2.099418,1.00066222644416,5244.25460775633,4735.82484083015
"true_peak_wait[1637]",1.478408033375,1.43442,0.580592966411733,0.582706278,0.60919425,2.4948725,1.00066071809628,3435.18337438632,3946.03607817577
"true_peak_wait[1638]",2.10386683365,2.094125,0.726845799944254,0.726481413,0.87920335,3.3557355,1.00021123769555,11127.3430905982,5812.90129953867
"true_peak_wait[1639]",0.99525941080625,0.905035,0.62092894428496,0.6666206967,0.1487869,2.1589405,1.00217393686813,9827.79254580303,5613.9259214406
"true_peak_wait[1640]",9974.45466,9974.38,11.60610437299,15.011325,9956.3895,9992.3505,1.00077454613232,12902.903587947,5081.47629462385
"true_peak_wait[1641]",9974.08986875,9974.19,11.5432549043585,14.6777399999995,9956.09,9992.1305,1.00104106336103,10727.2245283247,4242.87686484192
"true_peak_wait[1642]",2.19301192525,2.17105,0.786932288627099,0.825430137,0.93140365,3.5248265,1.00071740627372,4752.74982726177,4005.14980596561
"true_peak_wait[1643]",1.94316894725,1.90112,0.688214739445563,0.709134993,0.8517196,3.128573,1.00059460800201,5220.25559463972,5581.6063364448
"true_peak_wait[1644]",2.063819305325,2.051965,0.716223560431443,0.692433504,0.8530094,3.29886,1.00040861897723,10956.5379577701,5317.37690691795
"true_peak_wait[1645]",0.94534646122375,0.8322125,0.624467254023816,0.6528814425,0.1240622,2.1495925,1.00094603869429,11602.6770145293,4957.81682225574
"true_peak_wait[1646]",9974.46788875,9974.51,11.4911768739484,14.8408260000003,9956.5395,9992.27,1.00092331125581,11793.6761722214,5091.56775231082
"true_peak_wait[1647]",9974.227835,9974.215,11.5476062406462,14.6999789999986,9956.27,9992.37,1.0023342352931,11015.3283080196,4461.74465706239
